date,max_temperature,precipitation,snow_depth,dow,weekday,trips
2017-09-25T00:00:00Z,88,0,0,1,TRUE,63868
2017-09-26T00:00:00Z,84,0,0,2,TRUE,66608
2017-09-27T00:00:00Z,87,0,0,3,TRUE,65426
2017-09-28T00:00:00Z,79,0,0,4,TRUE,65956
2017-09-29T00:00:00Z,68,0,0,5,TRUE,61520
2017-09-30T00:00:00Z,66,0,0,6,FALSE,42578
2017-10-01T00:00:00Z,68,0,0,0,FALSE,46141
2017-10-02T00:00:00Z,73,0,0,1,TRUE,60470
2017-10-03T00:00:00Z,71,0,0,2,TRUE,64556
2017-10-04T00:00:00Z,75,0,0,3,TRUE,66437
2017-10-05T00:00:00Z,83,0,0,4,TRUE,65148
2017-10-06T00:00:00Z,82,0,0,5,TRUE,63710
2017-10-07T00:00:00Z,81,0,0,6,FALSE,50027
2017-10-08T00:00:00Z,77,0.22,0,0,FALSE,34018
2017-10-09T00:00:00Z,77,0.26,0,1,TRUE,35877
2017-10-10T00:00:00Z,81,0,0,2,TRUE,67545
2017-10-11T00:00:00Z,77,0.06,0,3,TRUE,59184
2017-10-12T00:00:00Z,64,0.07,0,4,TRUE,57145
2017-10-13T00:00:00Z,67,0,0,5,TRUE,61457
2017-10-14T00:00:00Z,72,0.08,0,6,FALSE,48446
2017-10-15T00:00:00Z,74,0,0,0,FALSE,46154
2017-10-16T00:00:00Z,69,0.01,0,1,TRUE,57317
2017-10-17T00:00:00Z,58,0,0,2,TRUE,60262
2017-10-18T00:00:00Z,72,0,0,3,TRUE,65397
2017-10-19T00:00:00Z,71,0,0,4,TRUE,66758
2017-10-20T00:00:00Z,73,0,0,5,TRUE,65071
2017-10-21T00:00:00Z,78,0,0,6,FALSE,52285
2017-10-22T00:00:00Z,76,0,0,0,FALSE,48842
2017-10-23T00:00:00Z,74,0,0,1,TRUE,62526
2017-10-24T00:00:00Z,74,0.2,0,2,TRUE,45625
2017-10-25T00:00:00Z,67,0,0,3,TRUE,66531
2017-10-26T00:00:00Z,58,0,0,4,TRUE,60121
